ob_code,obj_id,ra,dec,exptime,priority,resolution,reference_arm,g_ps1,g_ps1_error,r_ps1,r_ps1_error,i_ps1,i_ps1_error,z_ps1,z_ps1_error,y_ps1,y_ps1_error,g_sdss,r_sdss,i_sdss,z_sdss
perseus_031755.2+405536_M_1h,157110494798552672,49.47991858,40.92669763,900.0,8,M,m,2188163.75,3464814657536.0,3984005.75,3355212251136.0,7028133.0,3567138897920.0,8123066.5,3577997164544.0,8512949.0,3565168099328.0,1828100.75,4051354.75,5926517.0,7641872.0
perseus_031756.2+421235_L_1h,158650494843242459,49.48429258,42.20978884,900.0,5,L,n,100878.9296875,3514309541888.0,nan,nan,488922.0,3450484031488.0,572268.5625,3507841925120.0,593472.1875,3630780645376.0,323891.75,603670.5,824897.5625,995404.75
perseus_031757.6+414632_L_1h,158130494897711428,49.48991187,41.77571208,900.0,9,L,r,85624.8125,3527280689152.0,261312.4375,3538995642368.0,367248.125,3512691326976.0,212089.921875,3287910711296.0,240347.390625,3207450853376.0,200262.6875,416485.5,576501.5,638557.75
perseus_031757.6+412950_L_1h,157790494898827393,49.48988596,41.49729206,900.0,2,L,b,1437606.5,3570754650112.0,3288211.5,3592857583616.0,4470125.0,3490438709248.0,6631321.0,3615763464192.0,6583852.5,3576349851648.0,2017437.625,4852884.5,7557878.5,10529311.0
perseus_031757.8+414556_M_1h,158110494906389133,49.49079767,41.7654782,900.0,5,M,b,50582.47265625,3407846309888.0,62321.75,3470883291136.0,71620.9609375,3536063299584.0,92282.6171875,3523708715008.0,nan,nan,58992.95703125,95499.171875,123367.1328125,131220.015625
perseus_031758.0+415402_L_1h,158280494920741210,49.49172218,41.90049523,900.0,2,L,r,1470820.5,3624098856960.0,2964829.5,3625767927808.0,4316383.0,3529230516224.0,5881388.0,3620095393792.0,nan,nan,1704511.25,3940939.25,6036704.5,8394597.0
perseus_031758.5+411512_M_1h,157500494935314644,49.49362352,41.25348586,900.0,9,M,m,51641.625,3447942545408.0,130040.921875,3521762033664.0,168298.21875,3372251873280.0,193161.34375,3525981241344.0,109264.703125,2919039762432.0,133045.34375,288137.65625,437320.25,604226.125
perseus_031759.5+404311_L_1h,156860494979834461,49.49800317,40.7198423,900.0,3,L,b,663315.5625,3596830900224.0,1361946.75,3609773998080.0,1958663.5,3596168200192.0,2486336.25,3617428865024.0,2885359.25,3448895438848.0,618871.25,1395724.75,2081613.0,2868139.0
perseus_031759.6+413113_L_1h,157820494981755068,49.4981774,41.52035163,900.0,4,L,r,nan,nan,nan,nan,nan,nan,13765745.0,3416646221824.0,18484172.0,3558279217152.0,5360434.0,13502052.0,21340268.0,30591448.0
perseus_031800.7+411757_M_1h,157550495028739564,49.50283342,41.29907812,900.0,3,M,b,621269.75,3605122514944.0,1281149.5,3582944083968.0,1989940.625,3591534280704.0,2403920.0,3604790378496.0,2565190.75,3506226855936.0,614327.25,1386755.125,2053051.875,2831390.25
perseus_031801.1+415822_M_1h,158360495043808047,49.50443543,41.97286194,900.0,5,M,m,63369.44921875,3504612573184.0,137796.875,3572728594432.0,287554.25,3589549850624.0,360811.3125,3511721132032.0,399061.625,3521762033664.0,77553.2265625,201001.75,343874.4375,540007.8125
perseus_031801.8+413534_M_1h,157910495073281867,49.50734799,41.59268584,900.0,3,M,b,1257650.125,3608776802304.0,2733757.5,3588227858432.0,3688078.75,3542582820864.0,5742222.5,3599482224640.0,6888427.0,3582284005376.0,1126159.875,3133285.0,5365374.5,7691300.0
perseus_031801.9+420338_M_1h,158470495078183451,49.50780947,42.0606772,900.0,7,M,m,75093.0859375,3596830900224.0,89133.2890625,3377225007104.0,157079.625,3409101979648.0,152040.640625,3213364559872.0,147951.5,3232659931136.0,152756.46875,250495.515625,336666.4375,327491.625
perseus_031802.6+415022_M_1h,158200495107708025,49.51080815,41.83949942,900.0,3,M,m,692595.9375,3451437449216.0,1711748.625,3537365893120.0,2364175.5,3586245525504.0,2753972.5,3593188671488.0,2161124.0,3574044819456.0,1207813.375,2661951.0,3951845.0,5375262.5
perseus_031803.0+413046_M_1h,157810495124596287,49.51261388,41.51283683,900.0,9,M,n,nan,nan,129324.28125,3455890751488.0,209469.046875,3511721132032.0,326708.34375,3502031241216.0,292765.5,3444451049472.0,10185.9130859375,22284.30859375,31915.396484375,38370.69921875
perseus_031804.4+412211_L_1h,157640495184224236,49.5183664,41.3697288,900.0,3,L,r,222864.125,3500418793472.0,448869.59375,3463219249152.0,843567.5625,3517224058880.0,947719.5625,3510750937088.0,534761.3125,3449212895232.0,283139.03125,654033.5,990831.6875,1277613.875
