ob_code,obj_id,ra,dec,exptime,priority,resolution,reference_arm,g_ps1,g_ps1_error,r_ps1,r_ps1_error,i_ps1,i_ps1_error,z_ps1,z_ps1_error,y_ps1,y_ps1_error,g_sdss,r_sdss,i_sdss,z_sdss
perseus_031847.8+414452_L_1h,158090496991458004,49.69910357,41.74790216,900.0,9,L,b,nan,nan,161406.171875,3535411871744.0,388257.625,3630780645376.0,328790.84375,3608776802304.0,291661.8125,3408788193280.0,145881.453125,326287.5,479954.0,645654.25
perseus_031848.1+412623_L_1h,157720497004018207,49.70041817,41.43963151,900.0,5,L,r,120570.28125,3519492128768.0,96774.25,3458756771840.0,130893.953125,3340719357952.0,139418.390625,3428309270528.0,136710.046875,3203022716928.0,240104.46875,389045.34375,488427.28125,453732.96875
perseus_031848.6+422605_L_1h,158920497029262301,49.70272984,42.43482855,900.0,9,L,n,nan,nan,60763.0390625,3588558422016.0,89100.515625,3613100343296.0,143919.6875,3252070907904.0,nan,nan,53358.01171875,109345.34375,165043.890625,169044.0
perseus_031849.4+404939_M_1h,156990497058173761,49.70585674,40.82758914,900.0,3,M,m,1031621.25,3582284005376.0,2064619.0,3554021212160.0,3220771.5,3540951760896.0,3686038.5,3604458242048.0,3611101.25,3514633289728.0,1796386.75,4006821.25,5959365.0,8135795.0
perseus_031849.6+405329_M_1h,157070497066730199,49.70670154,40.89133431,900.0,5,M,n,89338.75,3545520668672.0,146446.84375,3466091298816.0,214782.96875,3551076286464.0,204663.3125,3479205052416.0,281760.53125,3286094315520.0,34673.7265625,53951.0546875,74473.25,87902.1171875
perseus_031849.9+413024_L_1h,157800497077058618,49.70767035,41.50663795,900.0,3,L,r,138905.765625,3538995642368.0,284629.53125,3556640817152.0,541452.25,3574703587328.0,581138.875,3489153155072.0,519613.1875,3516252028928.0,319742.15625,725772.1875,1112755.375,1469601.875
perseus_031850.3+421854_L_1h,158770497095048584,49.70954105,42.31499148,900.0,9,L,n,nan,nan,84871.0625,3606782935040.0,102065.6796875,3535737454592.0,101484.5,3424522338304.0,nan,nan,125314.0078125,280543.0625,425010.75,426579.21875
perseus_031851.1+404751_M_1h,156950497130647516,49.71309745,40.79740529,900.0,5,M,b,256850.5,3552057753600.0,493719.28125,3541930344448.0,1165305.25,3564511428608.0,1364330.875,3508488110080.0,1049253.125,3398756204544.0,544502.8125,1584892.75,2528134.5,3502678.5
perseus_031851.1+412332_L_1h,157670497129301397,49.71290789,41.39235063,900.0,2,L,b,636150.5,3579645526016.0,1428893.375,3542582820864.0,2115826.5,3513985794048.0,2588211.0,3586245525504.0,2539802.75,3529880633344.0,753702.125,1770109.875,2696497.5,3667750.5
perseus_031852.3+411603_L_1h,157520497179261601,49.7177498,41.26753822,900.0,3,L,r,75516.078125,3561558114304.0,142102.046875,3491724787712.0,304228.6875,3097419317248.0,420416.90625,3520789217280.0,148853.859375,3287305158656.0,192486.40625,421502.625,656447.125,732486.4375
perseus_031853.2+421756_L_1h,158750497216679424,49.7216412,42.29899173,900.0,3,L,n,325926.59375,3553039482880.0,651088.0625,3539321487360.0,1086025.625,3578326941696.0,1327150.375,3563526815744.0,1291575.625,3582944083968.0,319153.96875,766302.875,1218989.75,1477747.0
perseus_031853.3+403545_M_1h,156710497222385528,49.72228408,40.59573767,900.0,5,M,b,nan,nan,nan,nan,nan,nan,13703766.0,3615430279168.0,15686281.0,3576020598784.0,3637472.0,8279427.0,12485325.0,17864874.0
perseus_031854.3+405901_M_1h,157180497264351200,49.7264057,40.9836329,900.0,9,M,m,41338.98046875,3630780645376.0,85215.796875,3331194617856.0,80567.5078125,3488189251584.0,121663.5078125,3042005483520.0,nan,nan,92469.75,182809.875,260615.03125,297577.4375
perseus_031854.5+414811_M_1h,158160497268904320,49.72689951,41.80303521,900.0,3,M,m,570269.0,3467368726528.0,1102452.5,3589880676352.0,1531087.5,3352123408384.0,2733505.5,3604790378496.0,3368838.5,3577338396672.0,926402.6875,2303560.75,3667750.5,5166544.0
perseus_031856.0+413443_L_1h,157890497335315039,49.7333535,41.57872014,900.0,5,L,n,35905.42578125,3429888425984.0,91579.8046875,3221365456896.0,117684.640625,3451437449216.0,127221.3359375,3468965707776.0,106777.46875,3124640088064.0,96827.8203125,201001.75,285233.3125,331130.8125
perseus_031856.2+405452_M_1h,157090497342157937,49.73426115,40.91438387,900.0,3,M,m,56697.01171875,3488189251584.0,127855.6796875,3556968235008.0,232616.046875,3575032578048.0,283974.96875,3572070350848.0,359219.5,3512691326976.0,62517.28125,163380.296875,275422.9375,378442.71875
perseus_031856.4+405545_M_1h,157110497352655387,49.73494267,40.9291291,900.0,3,M,m,45586.921875,3400321728512.0,80042.2734375,3538343690240.0,nan,nan,154568.09375,3399069204480.0,116713.1171875,3273105604608.0,56130.63671875,133167.953125,201372.40625,266931.75
perseus_031858.0+413806_L_1h,157960497415002724,49.74149918,41.63504793,900.0,3,L,r,725838.375,3595837112320.0,1478836.125,3587566993408.0,2407023.25,3594843586560.0,3301564.25,3587897556992.0,3486582.5,3561558114304.0,903649.25,2218195.25,3435578.25,4790710.5
perseus_031858.1+412812_M_1h,157760497421154785,49.74212368,41.47011908,900.0,0,M,n,nan,nan,nan,nan,nan,nan,nan,nan,63802792.0,3595837112320.0,9908317.0,26693176.0,43411024.0,61376160.0
perseus_031858.3+414208_M_1h,158040497425833629,49.74278921,41.70237098,900.0,2,M,b,3026634.25,3589219549184.0,6589913.0,3513015074816.0,10668900.0,3564182962176.0,14017802.0,3597162250240.0,17115908.0,3609773998080.0,3535086.0,8605978.0,13390589.0,19373140.0
perseus_031858.9+411915_L_1h,157580497454415510,49.74540492,41.32085155,900.0,8,L,r,165531.171875,3481128140800.0,321070.53125,3520789217280.0,553248.1875,3516252028928.0,638204.5,3591534280704.0,601616.625,3423260901376.0,236591.78125,495222.03125,727109.8125,955872.875
perseus_031902.1+413712_L_1h,157940497588414553,49.75884813,41.61990853,900.0,3,L,r,423525.6875,3601140023296.0,691894.375,3071284346880.0,1649833.75,3539647332352.0,2022274.375,3566481702912.0,1960649.5,3569110482944.0,861390.0,2102808.5,3229982.5,4520641.5
perseus_031902.4+413301_M_1h,157860497600780917,49.76006186,41.55020882,900.0,3,M,m,1482791.75,3586906128384.0,3119752.75,3613765926912.0,4965467.0,3574374072320.0,6466063.0,3618095497216.0,5769789.5,3486582833152.0,1791429.125,4107710.5,6131971.0,8701619.0
perseus_031902.4+420721_M_1h,158540497599897801,49.760091,42.12255746,900.0,5,M,n,286972.34375,3572070350848.0,436918.03125,3567467364352.0,601561.8125,3557623595008.0,547772.625,3575362093056.0,535254.1875,3541930344448.0,352533.40625,553095.6875,717794.3125,869360.6875
perseus_031903.0+413015_L_1h,157800497624335819,49.76242463,41.50429789,900.0,5,L,r,207453.078125,3597824950272.0,419643.0625,3579315748864.0,567335.625,3553039482880.0,715616.1875,3569439473664.0,757321.3125,3465133686784.0,230780.859375,504893.6875,741310.1875,956752.8125
perseus_031903.5+415827_M_1h,158360497646299624,49.76461617,41.97414483,900.0,2,M,n,1511332.375,3620095393792.0,3290634.75,3599482224640.0,4811496.0,3574044819456.0,6527694.0,3594512760832.0,7596965.0,3613433004032.0,1550244.5,3791401.75,6020045.0,8294686.0
perseus_031904.3+411358_L_1h,157480497679540045,49.76794552,41.23283215,900.0,1,L,n,1123983.375,3513015074816.0,2395741.0,3479845732352.0,3952938.75,3544867405824.0,5023423.5,3499774181376.0,6331110.5,3577997164544.0,1230269.375,3822961.5,5335806.5,6931064.0
perseus_031904.7+412807_M_1h,157760497693973027,49.76934068,41.46857786,900.0,8,M,m,1470956.25,3615763464192.0,2704954.5,3590872629248.0,4220069.0,3603130744832.0,5321081.5,3587897556992.0,7108861.0,3623097466880.0,1576158.75,3773982.75,6183007.0,8150797.5
perseus_031906.1+410457_M_1h,157290497753609702,49.77535115,41.08253708,900.0,0,M,m,3154711.0,3616762494976.0,6832191.0,3617428865024.0,9862796.0,3569110482944.0,12862333.0,3581624188928.0,16548555.0,3591203454976.0,2948490.75,7877702.5,12416521.0,17346014.0
perseus_031907.2+410834_L_1h,157370497798751804,49.77985813,41.14263873,900.0,5,L,r,1821545.125,3628440485888.0,2967288.0,3502676377600.0,4472599.0,3603462619136.0,5076446.5,3583274123264.0,6328198.5,3535086026752.0,1744215.375,3335800.75,4826141.0,6468442.0
perseus_031907.6+411509_M_1h,157500497816523535,49.78166214,41.25232714,900.0,0,M,n,125198.765625,3472801923072.0,236744.59375,3469604814848.0,404240.59375,3521113227264.0,430011.5625,3444451049472.0,458944.21875,3500741230592.0,142298.3125,331130.8125,493855.34375,618871.25
perseus_031907.9+412446_M_1h,157690497826896106,49.78269596,41.41277596,900.0,5,M,n,nan,nan,nan,nan,200632.0,3257766772736.0,nan,nan,288084.53125,3408474144768.0,122913.5234375,260135.90625,378791.0625,436516.25
perseus_031908.5+413452_L_1h,157890497851997921,49.78522764,41.58108287,900.0,5,L,n,234617.265625,3593850585088.0,462849.375,3597162250240.0,752869.25,3577997164544.0,900492.8125,3574703587328.0,876032.4375,3555003203584.0,288935.0625,636208.4375,918755.0,1204481.5
perseus_031908.7+410737_L_1h,157350497863853060,49.78627389,41.12691937,900.0,3,L,n,165363.5,3555330883584.0,379769.28125,3325370302464.0,614780.6875,3478564110336.0,650070.125,3463857307648.0,443567.65625,3388441624576.0,286285.96875,702101.4375,1018592.4375,1000920.625
perseus_031908.9+420820_L_1h,158560497871527510,49.78718474,42.13902722,900.0,9,L,n,61927.0234375,3464814657536.0,147951.5,3514633289728.0,279151.5,3533784219648.0,336635.375,3530531012608.0,277791.8125,3485619716096.0,115771.09375,269897.96875,422669.09375,566499.625
perseus_031909.7+405638_L_1h,157130497905173354,49.79049642,40.94392573,900.0,6,L,r,51088.09765625,3505903894528.0,75962.640625,3419794571264.0,96613.9375,3529555574784.0,117988.5625,3512691326976.0,84597.9140625,3408788193280.0,70469.25,128351.1953125,151635.203125,188278.34375
perseus_031910.2+414041_L_1h,158010497925494417,49.79258148,41.67808726,900.0,9,L,r,67173.7421875,3426099920896.0,110326.5078125,3447625089024.0,249574.46875,3565496565760.0,238913.21875,3422945542144.0,229255.46875,3171903864832.0,97633.7109375,223254.265625,320331.78125,436516.25
perseus_031911.3+412111_M_1h,157620497970434450,49.79704635,41.35318657,900.0,2,M,b,3921390.75,3471522660352.0,nan,nan,nan,nan,23092990.0,3608444403712.0,28686648.0,3608776802304.0,4673046.5,12078134.0,19552386.0,27874048.0
perseus_031911.7+405037_M_1h,157010497987082796,49.79873229,40.84350497,900.0,5,M,n,75530.0078125,3441279893504.0,91858.546875,3556313399296.0,146082.9375,3483052277760.0,117338.3359375,3495586168832.0,149582.265625,3194184531968.0,117273.5625,162629.6875,206442.625,228244.296875
perseus_031911.9+410757_L_1h,157350497993509647,49.79934632,41.13250277,900.0,3,L,r,339625.0625,3584924581888.0,745898.5625,3558934577152.0,1227665.125,3565825032192.0,1447704.375,3560246083584.0,1512585.75,3586575826944.0,197697.0,757181.5625,1141825.25,1491421.125
perseus_031912.0+410521_L_1h,157300498001127695,49.80011804,41.08921056,900.0,2,L,r,2750678.5,3610771456000.0,6192131.0,3606450798592.0,9208737.0,3559590199296.0,12059238.0,3587897556992.0,16789570.0,3591203454976.0,2937649.5,7040444.5,11759797.0,17282236.0
perseus_031914.6+410829_L_1h,157370498107670384,49.81076225,41.14145975,900.0,2,L,r,3923195.25,3630446411776.0,nan,nan,nan,nan,14677086.0,3562542202880.0,19667986.0,3602135121920.0,4487449.0,10864252.0,17619756.0,23356066.0
perseus_031915.0+411353_M_1h,157470498124908433,49.81261013,41.23134073,900.0,5,M,m,34731.18359375,3483052277760.0,79601.265625,3599482224640.0,96667.4140625,3519816400896.0,113229.578125,3421684891648.0,130605.1171875,3256267046912.0,60813.4296875,154169.96875,203235.78125,192308.953125
perseus_031917.7+412237_L_1h,157650498235193136,49.82361996,41.37698649,900.0,6,L,r,74624.265625,3412872134656.0,152054.828125,3487225348096.0,180767.234375,3503321776128.0,139302.859375,3406591164416.0,160486.921875,3202137980928.0,140346.046875,253279.359375,351236.8125,381241.09375
perseus_031917.8+413840_L_1h,157970498240083868,49.82399443,41.64433282,900.0,0,L,b,3186249.25,3606118662144.0,6984892.0,3620428840960.0,nan,nan,14738046.0,3603794231296.0,16994956.0,3597824950272.0,3323531.75,8294686.0,12858789.0,18348474.0
perseus_031919.0+415418_L_1h,158280498291596641,49.82916884,41.90492013,900.0,9,L,r,31266.521484375,3354285572096.0,42811.44921875,3463538278400.0,51689.16015625,3513338822656.0,57597.0,3489474281472.0,nan,nan,95148.03125,170765.453125,247742.0,188799.171875
perseus_031920.1+422802_M_1h,158960498338111273,49.8337711,42.46721037,900.0,5,M,n,350041.8125,3581624188928.0,584789.8125,3592526757888.0,800718.0625,3495586168832.0,831456.3125,3518844108800.0,716341.6875,3498807132160.0,407380.03125,682967.8125,921297.4375,1140775.125
perseus_031921.3+412927_M_1h,157780498386699517,49.83867737,41.49071919,900.0,2,M,b,nan,nan,nan,nan,nan,nan,nan,nan,62006896.0,3561885794304.0,21877602.0,53456408.0,84722744.0,127057312.0
perseus_031922.4+412546_M_1h,157710498433035860,49.84331351,41.42934251,900.0,2,M,n,2671038.5,3577338396672.0,5783622.5,3608444403712.0,9769676.0,3529880633344.0,12845764.0,3617762312192.0,16351579.0,3528905457664.0,2759305.5,7092512.0,11313576.0,16099025.0
perseus_031923.8+410553_L_1h,157310498492047996,49.84917451,41.09798527,900.0,9,L,r,nan,nan,48959.83203125,3464814657536.0,78682.890625,3482411073536.0,111050.3359375,3273105604608.0,187240.578125,3268887707648.0,4285.48095703125,11912.4140625,9817.4833984375,9036.4931640625
perseus_031923.9+414133_L_1h,158030498495461640,49.84951089,41.69237982,900.0,5,L,b,208833.40625,3513015074816.0,473326.125,3582284005376.0,805897.1875,3583274123264.0,961258.4375,3583934201856.0,790897.125,3483052277760.0,443813.15625,991744.8125,1458814.625,1935530.25
perseus_031925.1+411352_L_1h,157470498544998021,49.85455426,41.23115499,900.0,5,L,r,96108.1015625,3543561928704.0,277178.53125,3537692000256.0,431161.34375,3587236429824.0,469115.71875,3544867405824.0,364753.4375,3482090209280.0,184671.734375,356779.75,518083.65625,623447.5
perseus_031926.0+422615_M_1h,158920498580475515,49.85803066,42.43743079,900.0,9,M,b,81846.421875,3506549817344.0,133511.859375,3527930544128.0,176149.0,3375359328256.0,208506.6875,3478884450304.0,202059.875,3262571347968.0,109546.75,205305.1875,286549.8125,349944.96875
perseus_031926.8+413226_M_1h,157840498614379232,49.86144176,41.54048238,900.0,2,M,m,6652118.5,3593850585088.0,nan,nan,nan,nan,nan,nan,33731836.0,3600145186816.0,8871561.0,23120642.0,36643776.0,48752824.0
perseus_031927.0+412717_M_1h,157740498624906316,49.86253158,41.45461031,900.0,0,M,m,101802.890625,3528580399104.0,177795.171875,3466729881600.0,332199.96875,3547480457216.0,375871.96875,3437478805504.0,325746.625,3512044617728.0,142167.4375,323295.9375,476431.0625,608695.4375
perseus_031927.0+413725_L_1h,157940498625528847,49.86253172,41.62338964,900.0,5,L,r,49759.89453125,3469604814848.0,96400.6328125,3415702241280.0,185968.65625,3540951760896.0,187949.109375,3418220134400.0,239375.859375,3427678027776.0,123936.6640625,279768.84375,425794.5,637382.375
perseus_031927.1+413630_M_1h,157930498628890766,49.86277289,41.60843041,900.0,9,M,m,56146.1640625,3471522660352.0,nan,nan,nan,nan,157775.6875,3439061893120.0,207013.921875,3314973147136.0,117057.6953125,249574.46875,362076.0625,456667.75
perseus_031927.4+413807_M_1h,157960498640842990,49.86409185,41.63526468,900.0,5,M,b,3078931.75,3600808411136.0,5927064.0,3605122514944.0,9411082.0,3538017845248.0,12243914.0,3616096387072.0,13422692.0,3570425921536.0,3116018.0,7331614.5,11066232.0,15718089.0
perseus_031927.8+404958_M_1h,156990498658129931,49.86586935,40.83273965,900.0,5,M,m,320361.0,3495264256000.0,570006.6875,3610771456000.0,778825.1875,3537692000256.0,950955.0,3525331910656.0,864330.625,3592857583616.0,298675.59375,626324.9375,939290.25,1228004.875
perseus_031928.9+410117_M_1h,157220498704066280,49.87043941,41.02140316,900.0,5,M,b,189461.1875,3563198349312.0,357997.34375,3573386575872.0,575758.25,3547807350784.0,675646.625,3595837112320.0,589332.0625,3497518432256.0,187585.859375,433311.15625,671119.625,904481.125
perseus_031930.3+404430_L_1h,156890498764050566,49.87652418,40.74162695,900.0,7,L,b,137758.90625,3630780645376.0,nan,nan,52592.0,3054639775744.0,180567.671875,3491403399168.0,nan,nan,510034.65625,637382.375,739264.3125,794328.5
perseus_031930.4+422928_L_1h,158990498767120158,49.87680653,42.49132582,900.0,5,L,r,88291.734375,3454936023040.0,109657.9453125,3516900048896.0,206442.625,3298222931968.0,178385.5,3538995642368.0,177942.609375,3138484699136.0,187240.578125,287078.25,392644.4375,427365.875
perseus_031931.4+412629_L_1h,157730498807950376,49.88079336,41.44141649,900.0,5,L,r,85901.2734375,3488189251584.0,177157.59375,3501386104832.0,265778.625,3553693794304.0,276108.4375,3513662308352.0,298016.53125,3491403399168.0,105002.53125,225943.65625,324190.625,423058.15625
perseus_031931.7+413121_L_1h,157820498822697542,49.88226523,41.5223764,900.0,6,L,r,20400.439453125,3231171477504.0,50081.7421875,3248777854976.0,54025.62890625,3177459482624.0,56420.8515625,3548133982208.0,nan,nan,nan,nan,nan,nan
perseus_031932.0+411815_L_1h,157560498832365702,49.88319845,41.30422939,900.0,5,L,b,218212.75,3400321728512.0,481503.65625,3576679366656.0,782492.0,3602798870528.0,879832.3125,3592857583616.0,807680.3125,3544214667264.0,340721.65625,852707.375,1336597.0,1831470.0
perseus_031933.5+422042_M_1h,158810498893854845,49.88936441,42.3451282,900.0,9,M,m,48057.359375,3436528795648.0,109446.0,3336107196416.0,144424.171875,3502031241216.0,160368.90625,3530856071168.0,191090.921875,3275819843584.0,83176.3125,177827.96875,257750.859375,303110.0625
perseus_031934.2+413450_M_1h,157890498926537262,49.89265751,41.58051337,900.0,2,M,m,5892777.0,3563526815744.0,11145001.0,3578656456704.0,21121268.0,3626102161408.0,26218008.0,3607779868672.0,33542818.0,3510427451392.0,nan,nan,nan,nan
perseus_031935.9+410904_M_1h,157380498995751916,49.89958019,41.15106062,900.0,3,M,n,2121681.75,3517224058880.0,4822142.0,3605454389248.0,8195207.5,3605454389248.0,9769676.0,3449212895232.0,12151772.0,3571741360128.0,2841842.5,6798293.5,10784494.0,15459663.0
perseus_031937.2+410353_M_1h,157270499046538488,49.90475535,41.0647924,900.0,3,M,m,188174.1875,3534109802496.0,427562.53125,3534435123200.0,637851.4375,3572070350848.0,803970.5,3573715828736.0,682401.875,3330887909376.0,269649.75,578095.625,862978.4375,1178148.25
perseus_031937.3+412910_M_1h,157780499052973818,49.9052873,41.48597061,900.0,2,M,m,1698557.25,3599813574656.0,3727006.75,3608444403712.0,5790014.5,3559918141440.0,7844403.5,3602466996224.0,9602847.0,3614098849792.0,1659586.375,4017905.0,6194409.0,9120111.0
perseus_031937.5+413758_M_1h,157960499061280098,49.90611643,41.63286625,900.0,3,M,n,1828773.375,3625767927808.0,3652584.0,3544541036544.0,6018386.0,3619428499456.0,6913210.5,3537692000256.0,8755479.0,3523708715008.0,2026749.0,4879776.0,7550919.5,10519617.0
perseus_031937.6+412248_L_1h,157650499066696705,49.90668267,41.38005063,900.0,2,L,b,397447.65625,3578656456704.0,790970.0625,3570425921536.0,1241650.75,3475041681408.0,1682984.125,3556640817152.0,1412927.375,3535737454592.0,771969.3125,1757112.875,2708943.25,3773982.75
perseus_031939.6+413104_M_1h,157820499151631931,49.91505926,41.5178869,900.0,5,M,m,117977.5390625,3353049825280.0,281500.8125,3517547806720.0,414152.15625,3487225348096.0,485466.9375,3493011390464.0,344096.15625,3540951760896.0,nan,nan,nan,nan
perseus_031940.2+411945_L_1h,157590499174845674,49.91749187,41.32919112,900.0,3,L,n,2029550.25,3591534280704.0,4403925.0,3606782935040.0,7156821.0,3615763464192.0,9433656.0,3615430279168.0,11792341.0,3613433004032.0,2041738.0,5157029.0,8105871.5,11513311.0
perseus_031940.6+413255_L_1h,157850499189928994,49.9189757,41.54862783,900.0,4,L,n,4654576.0,3624098856960.0,nan,nan,nan,nan,18073408.0,3527930544128.0,24957448.0,3601471897600.0,4325135.5,10568169.0,16904400.0,23988338.0
perseus_031941.6+412917_L_1h,157780499234756331,49.92347057,41.48812973,900.0,9,L,r,66705.2734375,3460987355136.0,123514.9921875,3385010421760.0,253886.875,3555330883584.0,187326.75,3489474281472.0,210300.5,3158202908672.0,nan,nan,nan,nan
perseus_031942.0+412958_L_1h,157800499247920090,49.92477329,41.4995385,900.0,1,L,n,519086.34375,3595837112320.0,1060328.125,3596830900224.0,1584016.0,3603462619136.0,2116995.25,3571412631552.0,2519997.75,3588558422016.0,383707.0,963828.5625,1555965.625,2249053.75
perseus_031942.4+404507_L_1h,156900499267243122,49.92674527,40.75202506,900.0,5,L,n,281579.03125,3528255340544.0,457762.09375,3566153236480.0,664292.9375,3545847300096.0,809991.125,3577667911680.0,876032.4375,3523384442880.0,270395.96875,524324.0625,774105.5625,989920.5
perseus_031942.9+413603_L_1h,157920499286961504,49.92869421,41.60071118,900.0,3,L,r,603559.125,3613433004032.0,1277613.875,3610771456000.0,1948766.0,3570096930816.0,2539802.75,3582284005376.0,2991436.0,3595837112320.0,775532.3125,1791429.125,2734009.75,3767036.25
perseus_031943.8+412725_M_1h,157740499325879018,49.93257696,41.45697994,900.0,2,M,m,1269871.75,3625767927808.0,2638758.5,3605454389248.0,4342699.0,3599813574656.0,5679102.0,3611104116736.0,6955367.0,3584263979008.0,1264735.875,3218102.75,5190384.5,7495486.0
perseus_031944.5+411641_M_1h,157530499355994325,49.93560576,41.27807397,900.0,3,M,n,2741320.0,3518844108800.0,5372790.0,3616429572096.0,9811147.0,3630446411776.0,12466942.0,3567796092928.0,16283963.0,3588888723456.0,3489796.0,8629784.0,14151413.0,17914292.0
perseus_031944.6+412647_M_1h,157730499359816386,49.93596073,41.44646248,900.0,3,M,b,737360.1875,3463219249152.0,1710645.875,3610106396672.0,2647037.5,3558279217152.0,3563197.5,3603794231296.0,4140757.5,3576349851648.0,924697.4375,2236659.5,3416645.5,4956784.5
perseus_031945.9+415835_M_1h,158370499411212339,49.94110213,41.97641436,900.0,3,M,n,2365918.0,3610771456000.0,4892828.5,3569439473664.0,7947673.5,3598156300288.0,11097879.0,3616096387072.0,14292887.0,3609441599488.0,2423259.75,6115048.5,9709567.0,14308699.0
perseus_031946.8+411613_M_1h,157520499449225089,49.94493104,41.27038008,900.0,2,M,m,920195.5625,3580634595328.0,1853190.5,3586245525504.0,3076380.5,3555985719296.0,3818736.75,3574703587328.0,4345499.0,3549768450048.0,1212272.125,2718940.25,4397440.5,5375262.5
perseus_031947.8+413547_L_1h,157910499491586260,49.94914721,41.59633618,900.0,0,L,n,3277024.0,3621095735296.0,7304657.0,3598156300288.0,nan,nan,13530694.0,3546827194368.0,17182242.0,3562870407168.0,nan,nan,nan,nan
perseus_031948.2+413042_L_1h,157810499506684675,49.95066498,41.51169734,900.0,0,L,r,nan,nan,nan,nan,nan,nan,nan,nan,121372384.0,3427046522880.0,28313902.0,56493688.0,78704576.0,nan
perseus_031948.9+413500_M_1h,157900499538950828,49.95382053,41.5834105,900.0,3,M,m,131534.625,3427678027776.0,231163.78125,3468326862848.0,319506.6875,3507841925120.0,357206.96875,3155585925120.0,324071.03125,3452391129088.0,nan,nan,nan,nan
perseus_031949.8+411947_L_1h,157590499573526593,49.95734079,41.32984857,900.0,5,L,n,55156.93359375,3592526757888.0,116027.25,3411300843520.0,182423.3125,3450484031488.0,216890.1875,3171027517440.0,252231.734375,3412557561856.0,76630.28125,175549.703125,274157.28125,324190.625
perseus_031951.1+405349_M_1h,157070499628586771,49.96278907,40.89687548,900.0,5,M,n,72370.171875,3506549817344.0,111820.171875,3183904292864.0,136961.859375,3436528795648.0,158562.375,3627438047232.0,198280.671875,3577008881664.0,141123.75,238781.046875,328700.21875,367451.40625
perseus_031951.3+411835_L_1h,157570499636862176,49.96359742,41.30968352,900.0,9,L,r,178057.34375,3341642629120.0,486675.75,3501386104832.0,738380.125,3573057323008.0,773606.875,3496229994496.0,668097.25,3456209256448.0,nan,nan,nan,nan
perseus_031951.3+413207_M_1h,157840499635393069,49.96352268,41.53535376,900.0,1,M,n,492084.34375,3585584922624.0,1056136.0,3606118662144.0,1631547.875,3572399341568.0,2205567.0,3569768202240.0,2613844.75,3602466996224.0,328.0948486328125,436.5157775878906,879021.25,2679.168701171875
perseus_031951.4+405051_L_1h,157010499641207412,49.96418864,40.84730756,900.0,6,L,r,225569.375,3101987176448.0,244658.25,3500096618496.0,400165.96875,3518195826688.0,317628.75,3409101979648.0,401088.375,3422945542144.0,405508.875,7516.228515625,11168.630859375,1000000.125
perseus_031951.5+413425_L_1h,157880499645218942,49.96452476,41.57358247,900.0,2,L,r,5634817.0,3625767927808.0,nan,nan,nan,nan,nan,nan,32523700.0,3598487650304.0,7046932.0,17864874.0,29107160.0,42461940.0
perseus_031951.9+403207_M_1h,156640499663902818,49.96644119,40.53513132,900.0,3,M,m,352435.5,3551076286464.0,761026.3125,3612434759680.0,1301607.625,3552057753600.0,1428234.625,3497196257280.0,1221686.875,3487225348096.0,491586.4375,1025180.6875,1475026.875,1924864.0
perseus_031952.5+413259_L_1h,157860499686490441,49.96862638,41.54982826,900.0,1,L,b,1102045.875,3592857583616.0,2266938.5,3621429182464.0,3784776.0,3569110482944.0,4541506.5,3575362093056.0,5598095.0,3608444403712.0,328.0948486328125,2333458.5,2754226.5,2679.168701171875
perseus_031952.9+413632_L_1h,157930499704981184,49.97051733,41.60877557,900.0,2,L,r,783502.125,3621429182464.0,1537446.75,3619761946624.0,2200289.25,3518519836672.0,2686583.0,3334878527488.0,3257466.25,3545194037248.0,920449.1875,2102808.5,3191536.25,4329122.0
perseus_031952.9+421746_M_1h,158750499702776033,49.97030326,42.29618235,900.0,3,M,m,231206.421875,3569110482944.0,525339.4375,3572399341568.0,757530.0,3565825032192.0,908071.3125,3527280689152.0,867360.4375,3512044617728.0,277970.90625,622874.125,939290.25,1248532.5
perseus_031953.0+411809_M_1h,157560499707014048,49.97083842,41.30257056,900.0,3,M,m,nan,nan,nan,nan,nan,nan,nan,nan,13011275.0,3589219549184.0,4716287.5,11096856.0,18399252.0,26424088.0
perseus_031954.1+413348_L_1h,157870499755606724,49.97555008,41.56340936,900.0,0,L,r,11459346.0,3630780645376.0,nan,nan,nan,nan,nan,nan,70430416.0,3593519497216.0,14723135.0,35974920.0,58613844.0,83945968.0
perseus_031954.3+421557_M_1h,158710499761359754,49.97608168,42.2659294,900.0,5,M,m,75669.375,3462900482048.0,135668.71875,3387817459712.0,229044.375,3600476798976.0,268534.4375,3561558114304.0,268608.71875,3506872778752.0,188104.78125,397374.375,556160.0,743360.8125
perseus_031954.4+420053_M_1h,158410499765528220,49.97649065,42.0146534,900.0,3,M,m,1881221.25,3585915224064.0,4011993.75,3559918141440.0,6117298.5,3501386104832.0,8312272.5,3621762891776.0,10136312.0,3540951760896.0,2228435.75,5765008.5,9594005.0,14668983.0
perseus_031955.2+411022_L_1h,157400499799237790,49.9799076,41.17263113,900.0,2,L,n,419063.84375,3553039482880.0,825885.375,3602466996224.0,1259853.125,3612767420416.0,1523911.125,3608776802304.0,1699807.25,3488510377984.0,418022.5,924697.4375,1339058.75,1778279.625
perseus_031955.6+413123_M_1h,157820499814728383,49.98145956,41.52311117,900.0,1,M,n,1713642.25,3507518701568.0,3352120.75,3615763464192.0,4740673.0,3575362093056.0,7215056.0,3537365893120.0,8769198.0,3582944083968.0,4055084.25,10000002.0,16143578.0,22284358.0
