ob_code,obj_id,ra,dec,equinox,exptime,priority,resolution
obj97_eet900,127352111732407186,211.173245,16.130534,J2000,900,6,L
obj98_eet900,127432116461907958,211.646197,16.197886,J2000,900,5,L
obj99_eet900,127362116920295077,211.692039,16.137122,J2000,900,8,L
obj100_eet900,127332117469080311,211.74688,16.108153,J2000,900,7,L
obj101_eet900,127392106923569300,210.692364,16.165633,J2000,900,8,L
obj102_eet900,127522110308520192,211.030872,16.266358,J2000,900,3,L
obj103_eet900,127452113331176461,211.333095,16.21329,J2000,900,3,L
obj104_eet900,127312117288682886,211.728845,16.093621,J2000,900,9,L
obj105_eet900,127572107974985245,210.797479,16.312287,J2000,900,8,L
obj106_eet900,127632114080299054,211.408017,16.365488,J2000,900,9,L
obj107_eet900,127672110855965734,211.085594,16.396005,J2000,900,6,L
obj108_eet900,127622115892250635,211.589194,16.350089,J2000,900,7,L
obj109_eet900,127762112138328823,211.213684,16.473545,J2000,900,9,L
obj110_eet900,127732113424549758,211.342425,16.449395,J2000,900,1,L
obj111_eet900,127742107469475011,210.746938,16.453723,J2000,900,7,L
obj112_eet900,127752116477082605,211.64766,16.460083,J2000,900,5,L
obj113_eet900,127752114662566221,211.466184,16.463099,J2000,900,7,L
obj114_eet900,127802112903208607,211.290252,16.506628,J2000,900,9,L
obj115_eet900,128222113428113798,211.342828,16.852758,J2000,900,7,L
obj116_eet900,127952115819272814,211.581869,16.626927,J2000,900,9,L
obj117_eet900,128002111383467972,211.138337,16.672878,J2000,900,1,L
obj118_eet900,128102113455946191,211.345605,16.754724,J2000,900,8,L
obj119_eet900,127882111848270192,211.184761,16.566291,J2000,900,4,L
obj120_eet900,127722113367063617,211.336671,16.435961,J2000,900,4,L
obj121_eet900,127882119877164161,211.987708,16.569689,J2000,900,7,L
obj122_eet900,127912114216807649,211.421642,16.597606,J2000,900,9,L
obj123_eet900,127722111737567850,211.173738,16.439464,J2000,900,7,L
obj124_eet900,128122118100228112,211.809984,16.773044,J2000,900,9,L
obj125_eet900,128012117656699364,211.765653,16.682419,J2000,900,1,L
obj126_eet900,128192120152182509,212.015163,16.826665,J2000,900,9,L
obj127_eet900,128342113417405246,211.341742,16.953958,J2000,900,3,L
