ppc_code,ppc_ra,ppc_dec,ppc_pa,ppc_resolution,ppc_priority
Point_low_1,49.89556493946,41.51756603678,0.0,L,0.0
Point_low_2,48.89683299114,41.33165269544,0.0,L,0.0
Point_low_3,50.020406433000005,40.80069845724,0.0,L,0.0
Point_low_4,50.6446139007,42.03279417592,0.0,L,0.0
Point_low_5,50.9898617415,41.294025147030005,0.0,L,0.0
Point_low_6,49.345310052,42.293207024450005,0.0,L,0.0
Point_low_7,49.022082256670004,41.12868154876,0.0,L,0.0
Point_low_8,49.8744822715,41.581384012,0.0,L,0.0
Point_low_9,50.41882842534,42.372498689960004,0.0,L,0.0
Point_low_10,49.99625370219,40.77175431072,0.0,L,0.0
Point_low_11,48.81462655291,42.0639203435,0.0,L,0.0
Point_low_12,50.21734276,40.65879829,0.0,L,0.0
Point_medium_1,49.901530238910006,41.39312853312,0.0,M,0.0
Point_medium_2,50.252433879150004,42.10939045845,0.0,M,0.0
Point_medium_3,48.89356440219,41.29080540093,0.0,M,0.0
Point_medium_4,50.99629656105,41.349766548960005,0.0,M,0.0
Point_medium_5,50.145247577880006,40.6906357075,0.0,M,0.0
Point_medium_6,49.06600478136001,42.0597048516,0.0,M,0.0
Point_medium_7,49.926957282240004,41.45669574463,0.0,M,0.0
Point_medium_8,49.205335803960004,40.65222122567,0.0,M,0.0
Point_medium_9,49.85036035768,41.480668253160005,0.0,M,0.0
Point_medium_10,50.20831023099,42.13705196008,0.0,M,0.0
Point_medium_11,51.17364554,40.89197858,0.0,M,0.0
Point_medium_12,51.022531421500005,41.21608663368,0.0,M,0.0
Point_medium_13,50.88911925328001,41.1681933135,0.0,M,0.0
Point_medium_14,49.259983840000004,42.06506486,0.0,M,0.0
